,Highest educational level,Used a method at last sexual intercourse,Wife justified asking husband to use condom if he has STI,Drugs to avoid HIV transmission to baby during pregnancy,Total lifetime number of sex partners,Heard of ARVs to treat HIV,Respondent can refuse sex,Respondent can ask partner to use a condom,Knowledge and use of HIV test kits,Perception Mean
6437,3,1,1,1,1,1,1,1,1,1.0
6438,2,1,1,1,5,0,1,1,0,1.25
6439,2,1,1,0,1,1,1,1,0,0.75
6440,3,0,1,1,1,1,1,1,1,0.875
6441,2,1,1,0,1,0,1,1,1,0.75
6442,2,1,1,0,1,0,1,1,0,0.625
6443,3,1,1,1,1,1,1,1,1,1.0
6444,2,0,1,1,5,0,1,1,0,1.125
6445,2,1,1,0,1,1,1,1,0,0.75
6446,3,1,1,0,1,1,1,1,1,0.875
6447,2,0,1,0,1,0,1,0,0,0.375
6448,3,1,1,0,1,0,1,1,0,0.625
6449,2,1,1,1,1,1,1,1,0,0.875
6450,2,0,1,1,1,0,1,0,0,0.5
6451,2,1,0,1,6,1,1,1,0,1.375
6452,2,1,1,1,1,1,1,1,0,0.875
6453,2,1,1,1,1,0,1,1,1,0.875
6454,2,0,1,0,1,0,1,1,0,0.5
6455,1,0,1,1,1,1,0,0,0,0.5
6456,2,1,1,1,1,0,1,1,1,0.875
6457,3,0,1,1,1,0,1,1,0,0.625
6458,2,1,1,1,1,1,1,1,1,1.0
6459,2,1,0,0,1,0,1,1,0,0.5
6460,2,1,1,1,1,0,1,1,1,0.875
6461,2,0,1,1,1,1,0,0,1,0.625
6462,2,1,1,0,5,0,1,1,0,1.125
6463,2,1,1,1,1,1,1,1,0,0.875
6464,3,1,0,1,1,1,1,0,1,0.75
6465,2,0,1,1,1,1,1,1,0,0.75
6466,2,1,1,0,1,0,1,1,0,0.625
6467,3,1,0,1,1,0,1,1,1,0.75
6468,2,0,1,1,1,0,1,1,0,0.625
6469,1,0,0,1,1,1,1,1,1,0.75
6470,2,1,1,0,1,0,1,1,0,0.625
6471,3,1,1,0,1,0,1,1,1,0.75
6472,1,1,1,0,1,0,1,1,0,0.625
6473,2,1,1,1,1,0,1,1,0,0.75
6474,1,1,1,1,1,0,1,1,0,0.75
6475,1,1,1,1,1,0,1,1,0,0.75
6476,2,1,1,0,1,0,1,1,0,0.625
6477,2,0,0,0,1,0,1,1,0,0.375
6478,3,0,0,0,1,0,1,0,0,0.25
6479,3,1,1,0,1,0,1,1,1,0.75
6480,3,1,1,1,1,1,1,1,0,0.875
6481,3,0,1,0,1,0,1,1,0,0.5
6482,2,1,1,0,1,0,1,1,0,0.625
6483,2,0,0,1,1,1,0,0,1,0.5
6484,3,1,1,1,1,1,1,1,1,1.0
6485,3,0,1,1,1,1,1,1,1,0.875
6486,3,1,1,0,1,0,1,1,1,0.75
6487,3,1,1,1,5,0,1,1,0,1.25
6488,2,1,1,1,1,1,1,1,1,1.0
6489,3,0,0,1,1,1,1,1,0,0.625
6490,2,0,1,0,1,0,1,0,0,0.375
6491,2,1,1,0,1,0,1,1,0,0.625
6492,3,1,1,1,1,0,1,1,0,0.75
6493,2,1,1,0,1,0,1,0,0,0.5
6494,3,1,1,1,1,1,1,1,0,0.875
6495,3,1,1,1,1,1,1,1,0,0.875
6496,3,0,1,1,1,1,1,1,0,0.75
6497,2,1,1,1,1,1,1,1,0,0.875
6498,2,1,1,0,1,0,1,1,0,0.625
6499,2,1,0,0,1,1,1,1,1,0.75
6500,3,0,1,0,1,0,1,1,0,0.5
6501,3,1,1,0,1,0,1,1,0,0.625
6502,3,1,1,0,1,0,1,1,0,0.625
6503,3,0,0,1,20,0,1,1,0,2.875
6504,3,1,1,1,1,1,1,1,0,0.875
6505,3,1,1,1,1,1,1,1,1,1.0
6506,2,1,1,0,4,1,1,1,0,1.125
6507,3,1,1,1,1,1,1,1,0,0.875
6508,3,1,1,1,1,0,1,1,0,0.75
6509,3,0,1,1,1,1,1,0,0,0.625
6510,2,1,1,1,1,0,1,1,0,0.75
6511,3,1,1,1,1,1,1,1,0,0.875
6512,3,1,1,0,1,1,1,1,0,0.75
6513,3,0,1,0,1,0,1,1,0,0.5
6514,2,1,1,1,1,1,1,1,1,1.0
6515,2,1,0,0,1,0,1,1,0,0.5
6516,2,1,1,1,1,0,1,1,0,0.75
6517,3,0,1,0,1,0,1,1,0,0.5
6518,2,1,0,1,1,1,1,0,1,0.75
6519,3,0,1,0,1,1,1,1,0,0.625
6520,3,1,1,0,1,0,1,1,0,0.625
6521,3,1,1,1,1,1,1,1,1,1.0
6522,3,0,1,0,1,0,1,1,0,0.5
6523,3,1,1,0,1,0,1,1,1,0.75
6524,3,1,0,0,1,0,1,1,0,0.5
6525,3,0,1,0,1,0,1,1,0,0.5
6526,3,1,1,0,4,0,1,1,0,1.0
6527,3,1,1,1,1,1,1,1,1,1.0
6528,3,1,1,1,1,1,1,1,1,1.0
6529,2,0,1,1,1,0,1,1,0,0.625
6530,2,1,1,1,1,0,1,1,1,0.875
6531,2,1,1,0,1,0,1,1,0,0.625
6532,3,1,1,1,1,1,1,1,1,1.0
6533,1,1,1,0,1,1,1,1,0,0.75
6534,2,1,1,1,1,0,1,1,0,0.75
6535,2,1,1,1,1,0,1,1,0,0.75
6536,3,0,1,1,1,0,1,1,0,0.625
6537,1,0,1,1,1,1,1,1,0,0.75
6538,3,1,1,0,1,0,1,1,0,0.625
6539,3,1,1,1,1,1,1,1,0,0.875
6540,2,1,1,1,1,0,1,1,0,0.75
6541,3,1,1,1,1,0,1,1,0,0.75
6542,3,1,1,1,1,1,1,1,0,0.875
6543,1,1,1,1,1,0,1,1,1,0.875
6544,3,0,1,1,1,1,1,1,0,0.75
6545,1,1,1,1,1,1,1,0,1,0.875
6546,2,1,1,1,1,1,1,1,0,0.875
6547,3,1,1,0,1,0,1,1,0,0.625
6548,3,1,1,0,4,0,1,1,0,1.0
6549,1,0,1,1,1,1,1,1,1,0.875
6550,3,1,1,1,1,1,0,1,0,0.75
6551,3,1,1,1,1,1,1,1,0,0.875
6552,3,1,1,1,1,0,1,1,0,0.75
6553,2,1,1,0,1,1,1,1,0,0.75
6554,2,1,1,0,1,0,1,1,0,0.625
6555,3,1,1,1,1,0,1,1,0,0.75
6556,2,1,1,1,1,0,1,1,0,0.75
6557,3,1,1,1,1,0,1,1,1,0.875
6558,2,0,1,1,1,1,1,1,1,0.875
6559,1,1,1,1,1,0,1,1,0,0.75
6560,2,1,1,0,1,0,1,1,1,0.75
6561,1,1,1,1,1,0,1,1,0,0.75
6562,2,0,0,0,1,0,0,0,0,0.125
6563,2,1,1,1,1,1,1,1,1,1.0
6564,2,0,1,1,1,0,1,1,0,0.625
6565,2,0,1,1,1,0,1,1,0,0.625
6566,1,0,1,1,1,0,1,1,0,0.625
6567,2,1,1,1,1,1,1,1,1,1.0
6568,1,1,1,0,1,1,1,1,0,0.75
6569,1,1,1,0,1,0,1,1,0,0.625
6570,1,0,1,1,1,0,1,1,0,0.625
6571,2,1,1,1,1,1,1,1,0,0.875
6572,2,1,1,0,1,0,1,1,0,0.625
6573,2,0,1,1,1,1,1,1,0,0.75
6574,1,1,1,1,1,0,1,1,0,0.75
6575,3,1,1,1,1,0,1,1,0,0.75
6576,1,1,1,1,1,0,1,1,0,0.75
6577,2,1,1,1,1,1,1,1,0,0.875
6578,2,1,1,1,1,0,1,1,0,0.75
6579,3,0,1,1,1,1,1,1,1,0.875
6580,3,1,1,1,1,0,1,1,0,0.75
6581,2,1,1,1,1,1,1,1,0,0.875
6582,3,1,1,1,1,0,1,1,0,0.75
6583,2,1,1,1,1,0,1,1,0,0.75
6584,2,1,1,1,1,0,1,1,0,0.75
6585,3,1,1,0,1,1,1,1,0,0.75
6586,3,1,1,1,1,0,1,1,0,0.75
6587,2,0,1,1,1,1,1,1,0,0.75
6588,3,1,1,1,1,0,1,1,0,0.75
6589,2,1,1,1,1,0,1,1,0,0.75
6590,2,1,0,0,1,0,0,0,0,0.25
6591,2,1,1,1,1,0,1,1,0,0.75
6592,3,1,1,1,1,0,1,1,0,0.75
6593,2,1,1,1,1,0,1,1,0,0.75
6594,3,1,1,1,1,1,1,1,0,0.875
6595,2,1,1,1,1,1,1,1,0,0.875
6596,2,1,0,0,1,1,1,0,0,0.5
6597,3,1,1,0,1,0,1,1,0,0.625
6598,3,0,1,1,1,0,1,1,1,0.75
6599,2,1,1,1,1,0,1,1,0,0.75
6600,3,1,1,1,7,0,0,1,0,1.375
6601,2,1,1,1,1,1,1,1,0,0.875
6602,3,1,1,0,1,1,1,1,0,0.75
6603,3,1,1,1,1,1,1,1,1,1.0
6604,2,0,0,0,1,0,1,1,0,0.375
6605,1,1,1,1,1,0,1,1,0,0.75
6606,1,1,1,0,1,0,1,1,0,0.625
6607,1,1,1,1,1,0,1,1,0,0.75
6608,1,1,1,1,1,1,1,1,1,1.0
6609,2,1,1,1,1,0,1,1,0,0.75
6610,2,1,1,1,1,0,1,1,0,0.75
6611,2,1,1,1,1,1,1,1,1,1.0
6612,2,1,1,1,1,1,1,1,0,0.875
6613,3,1,1,1,1,0,1,1,0,0.75
6614,2,1,1,1,1,1,1,1,0,0.875
6615,3,0,1,1,1,0,1,1,0,0.625
6616,2,1,1,1,1,0,1,1,0,0.75
6617,2,1,1,0,1,1,1,1,0,0.75
6618,3,1,1,1,1,0,1,1,0,0.75
6619,1,0,1,0,1,0,1,1,0,0.5
6620,2,1,1,0,1,0,1,1,0,0.625
6621,1,1,1,1,1,0,1,1,0,0.75
6622,2,0,1,0,1,1,1,1,0,0.625
6623,2,1,1,1,1,1,1,1,0,0.875
6624,2,1,1,0,1,0,1,1,0,0.625
6625,2,0,1,0,1,0,1,1,0,0.5
6626,1,1,1,0,1,0,1,1,0,0.625
6627,2,0,0,0,1,0,1,1,1,0.5
6628,2,1,1,0,1,0,1,1,0,0.625
6629,2,1,1,1,1,0,1,1,0,0.75
6630,2,1,1,1,1,0,1,1,1,0.875
6631,2,1,1,0,1,1,1,0,0,0.625
6632,1,1,0,0,1,0,1,0,0,0.375
6633,2,1,1,1,1,0,1,1,1,0.875
6634,2,1,1,1,1,0,1,1,1,0.875
6635,1,1,1,1,1,1,1,1,1,1.0
6636,3,1,1,1,1,0,1,1,0,0.75
6637,2,0,1,1,1,0,1,1,0,0.625
6638,2,1,1,0,1,1,1,1,0,0.75
6639,2,1,1,1,1,0,1,1,1,0.875
6640,1,1,1,0,1,0,1,1,0,0.625
6641,1,0,0,0,1,0,1,1,0,0.375
6642,1,1,0,0,1,0,1,0,0,0.375
6643,2,0,1,0,1,0,1,1,0,0.5
6644,3,1,1,0,1,0,1,1,0,0.625
6645,3,0,1,1,1,0,1,1,0,0.625
6646,1,1,1,1,1,0,1,1,0,0.75
6647,2,1,1,1,1,0,1,1,0,0.75
6648,2,1,1,0,1,0,1,1,0,0.625
6649,2,0,1,0,1,0,1,1,0,0.5
6650,2,1,1,1,1,0,1,1,0,0.75
6651,2,0,1,0,4,0,1,1,0,0.875
6652,3,0,1,1,1,0,1,0,0,0.5
6653,2,0,0,0,1,1,1,1,0,0.5
6654,2,1,0,0,1,1,1,1,0,0.625
6655,3,1,0,0,1,0,1,1,1,0.625
6656,2,0,1,0,1,0,1,1,0,0.5
6657,3,0,1,0,1,1,1,1,1,0.75
6658,1,1,1,0,1,1,1,1,0,0.75
6659,2,1,1,0,1,1,1,1,0,0.75
6660,2,1,1,0,1,0,1,0,0,0.5
6661,2,0,0,1,1,0,1,1,0,0.5
6662,2,1,1,1,1,0,1,1,0,0.75
6663,2,0,1,1,1,0,1,1,0,0.625
6664,2,1,1,1,1,0,1,1,0,0.75
6665,2,1,1,1,1,0,1,1,1,0.875
6666,3,1,1,0,1,0,1,1,0,0.625
6667,3,1,1,1,1,0,1,1,0,0.75
6668,1,1,1,1,1,0,1,1,1,0.875
6669,2,1,1,1,1,0,1,1,0,0.75
6670,2,1,1,0,1,1,1,1,1,0.875
6671,3,0,0,0,1,0,1,1,1,0.5
6672,2,1,0,0,1,0,1,1,0,0.5
6673,3,0,1,0,1,0,1,1,0,0.5
6674,2,1,1,1,1,0,1,1,0,0.75
6675,2,1,1,1,1,0,1,1,0,0.75
6676,3,0,1,0,1,0,1,1,1,0.625
6677,2,0,1,0,1,0,1,1,1,0.625
6678,3,1,1,1,1,0,1,1,0,0.75
6679,2,0,1,0,1,1,1,1,0,0.625
6680,2,0,1,0,1,0,1,1,0,0.5
6681,2,1,1,1,1,0,1,1,0,0.75
6682,2,1,1,0,1,1,1,1,1,0.875
6683,1,1,1,0,1,0,1,0,0,0.5
6684,1,1,1,0,1,0,1,1,0,0.625
6685,2,1,1,0,1,0,1,1,0,0.625
6686,3,1,0,1,1,0,0,0,0,0.375
6687,2,1,1,0,1,0,1,1,0,0.625
6688,2,1,1,1,1,0,1,1,1,0.875
6689,1,1,1,0,1,0,1,1,0,0.625
6690,1,1,1,0,1,0,1,1,0,0.625
6691,3,1,1,0,1,1,1,1,1,0.875
6692,3,1,0,0,1,0,1,1,0,0.5
6693,2,0,1,0,1,0,1,1,0,0.5
6694,1,1,0,0,1,1,1,1,0,0.625
6695,3,1,1,1,1,0,1,1,1,0.875
6696,3,0,0,0,1,0,1,1,0,0.375
6697,3,1,1,0,1,1,0,1,0,0.625
6698,2,0,1,1,1,0,1,1,1,0.75
6699,2,1,1,0,1,0,1,1,0,0.625
6700,3,1,1,1,1,0,1,1,0,0.75
6701,2,0,1,0,1,0,1,1,0,0.5
6702,3,0,1,1,1,0,1,1,0,0.625
6703,2,1,1,0,1,0,1,0,0,0.5
6704,2,1,0,0,1,0,1,0,1,0.5
6705,2,0,1,0,1,0,1,1,0,0.5
6706,2,1,1,1,1,1,1,1,1,1.0
6707,2,0,1,1,1,0,1,1,0,0.625
6708,2,0,1,0,1,1,1,1,1,0.75
6709,3,0,0,0,1,0,1,0,0,0.25
6710,2,1,1,0,1,0,1,1,0,0.625
6711,2,1,1,0,1,0,1,1,0,0.625
6712,2,1,1,0,1,0,1,1,0,0.625
6713,2,1,1,0,1,0,1,1,1,0.75
6714,3,1,1,0,1,0,1,1,0,0.625
6715,3,1,1,0,1,0,0,1,0,0.5
6716,1,1,1,1,1,0,1,1,0,0.75
6717,2,1,1,0,1,0,1,0,0,0.5
6718,2,1,1,0,1,0,1,1,0,0.625
6719,2,1,1,1,1,1,1,0,0,0.75
6720,2,0,1,0,1,0,1,1,0,0.5
6721,2,0,1,0,1,1,1,1,0,0.625
6722,2,1,1,1,1,0,1,1,0,0.75
6723,2,1,1,1,1,1,1,1,0,0.875
6724,2,1,1,1,1,1,1,1,0,0.875
6725,2,1,1,0,1,0,1,1,0,0.625
6726,2,1,1,1,1,0,1,1,0,0.75
6727,3,1,1,1,1,1,1,1,1,1.0
6728,3,1,1,1,1,1,1,1,1,1.0
6729,3,1,1,0,1,1,1,1,0,0.75
6730,2,0,0,1,1,0,1,1,0,0.5
6731,2,1,1,0,1,1,1,0,0,0.625
6732,1,0,1,1,1,1,1,1,0,0.75
6733,3,1,1,1,1,1,1,1,0,0.875
6734,3,0,1,1,1,1,1,0,0,0.625
6735,2,1,1,0,1,0,1,1,0,0.625
6736,3,1,0,0,1,0,1,1,0,0.5
6737,2,1,1,1,1,0,1,1,0,0.75
6738,2,1,0,1,1,1,1,0,0,0.625
6739,2,1,1,1,1,0,1,1,1,0.875
6740,2,1,1,0,1,0,1,0,0,0.5
6741,2,1,1,0,1,0,1,1,0,0.625
6742,3,0,1,1,1,0,1,1,1,0.75
6743,3,1,1,0,1,0,1,1,0,0.625
6744,1,1,1,1,1,0,1,1,0,0.75
6745,3,0,1,1,1,0,1,1,0,0.625
6746,2,1,1,0,1,0,1,1,0,0.625
6747,2,1,1,1,1,1,1,1,0,0.875
6748,2,1,0,1,1,0,1,1,0,0.625
6749,2,1,1,1,1,0,1,1,0,0.75
6750,2,1,0,1,1,1,1,1,0,0.75
6751,2,1,1,1,1,1,1,1,0,0.875
6752,2,1,0,1,1,0,0,1,0,0.5
6753,2,0,1,1,1,1,1,1,1,0.875
6754,2,0,1,1,1,1,1,1,1,0.875
6755,3,0,1,0,1,0,1,1,0,0.5
6756,1,0,1,0,1,0,1,1,0,0.5
6757,2,1,1,0,1,0,1,1,0,0.625
6758,3,0,0,0,1,0,1,1,0,0.375
6759,2,1,1,1,1,0,1,1,0,0.75
6760,2,0,1,0,1,0,1,1,0,0.5
6761,2,1,0,1,1,1,0,1,0,0.625
6762,2,1,1,1,1,0,1,1,0,0.75
6763,2,1,1,1,1,0,1,1,1,0.875
6764,3,1,1,1,1,1,1,1,1,1.0
6765,2,1,1,1,1,0,1,1,0,0.75
6766,2,1,1,1,1,1,1,1,0,0.875
6767,2,1,1,1,1,1,1,1,1,1.0
6768,3,1,1,1,1,0,1,1,0,0.75
6769,1,1,1,0,1,0,1,0,0,0.5
6770,3,1,1,0,98,0,1,1,0,12.75
6771,3,0,1,0,1,0,1,1,0,0.5
6772,3,1,1,0,1,0,1,1,1,0.75
6773,3,0,1,1,1,1,1,1,0,0.75
6774,3,1,1,1,1,0,1,1,1,0.875
6775,2,1,1,1,1,1,1,1,0,0.875
6776,2,0,1,0,1,0,1,0,0,0.375
6777,2,0,1,1,1,1,1,1,0,0.75
6778,3,0,1,1,1,1,1,1,1,0.875
6779,2,0,1,1,1,0,1,1,0,0.625
6780,3,1,1,0,1,0,1,1,1,0.75
6781,3,1,1,0,1,0,1,1,0,0.625
6782,3,1,1,1,1,1,1,1,1,1.0
6783,2,0,1,0,1,0,1,1,0,0.5
6784,3,1,1,1,1,0,1,1,0,0.75
6785,3,0,1,0,1,0,1,1,0,0.5
6786,2,1,1,1,1,0,1,1,0,0.75
6787,2,0,1,1,1,0,1,1,0,0.625
6788,3,0,1,1,1,0,1,1,0,0.625
6789,2,1,1,1,1,0,1,1,0,0.75
6790,2,1,1,1,1,1,1,1,0,0.875
6791,2,1,1,1,1,1,1,1,0,0.875
6792,1,1,1,1,1,0,1,1,0,0.75
6793,3,1,0,1,1,0,1,0,0,0.5
6794,1,1,1,1,1,1,1,0,1,0.875
6795,3,1,1,0,1,0,1,1,0,0.625
6796,3,1,1,1,1,0,0,1,0,0.625
6797,3,1,1,0,1,0,1,1,0,0.625
6798,2,1,1,1,1,0,1,1,0,0.75
6799,3,1,1,1,1,0,1,1,0,0.75
6800,2,1,1,1,1,1,1,1,0,0.875
6801,2,1,1,0,1,1,0,0,1,0.625
6802,2,1,1,1,1,1,1,1,0,0.875
6803,2,1,1,1,1,1,1,1,1,1.0
6804,3,1,1,1,1,0,1,1,0,0.75
6805,2,1,1,1,1,0,1,0,0,0.625
6806,2,0,1,0,1,0,1,1,0,0.5
6807,1,1,1,0,1,0,1,1,0,0.625
6808,1,1,1,1,1,0,1,1,1,0.875
6809,2,1,1,0,1,0,1,1,0,0.625
6810,3,0,1,0,1,0,1,1,0,0.5
6811,2,1,0,1,1,0,1,1,0,0.625
6812,3,1,1,1,1,1,1,1,0,0.875
6813,3,0,1,0,1,0,1,1,0,0.5
6814,3,0,1,0,1,0,1,1,0,0.5
6815,3,0,1,1,1,1,1,1,1,0.875
6816,1,1,1,0,1,1,1,1,0,0.75
6817,2,1,1,1,1,1,1,1,0,0.875
6818,2,1,1,0,1,0,1,1,0,0.625
6819,2,1,1,1,1,0,1,1,0,0.75
6820,2,1,1,1,1,1,1,1,0,0.875
6821,3,0,0,0,1,0,1,0,0,0.25
6822,2,1,1,1,1,0,0,1,0,0.625
6823,3,1,1,1,1,0,1,1,1,0.875
6824,2,1,1,1,1,1,1,1,1,1.0
6825,2,0,1,0,1,0,1,1,0,0.5
6826,3,1,0,1,1,0,1,1,1,0.75
6827,3,0,1,1,1,1,1,1,1,0.875
6828,2,0,0,1,1,0,1,1,0,0.5
6829,2,1,0,1,1,1,1,1,0,0.75
6830,2,1,1,1,1,0,1,1,0,0.75
6831,2,1,1,1,1,0,1,1,0,0.75
6832,2,0,1,1,1,0,1,1,1,0.75
6833,2,1,1,1,1,0,1,1,1,0.875
6834,3,1,1,1,1,0,1,0,0,0.625
6835,1,1,0,1,1,1,1,0,0,0.625
6836,3,1,1,1,1,0,1,1,0,0.75
6837,2,1,1,0,1,0,1,0,1,0.625
6838,3,1,1,1,1,0,1,1,0,0.75
6839,2,1,1,0,1,0,1,1,0,0.625
6840,3,1,0,0,1,0,1,1,0,0.5
6841,2,0,1,1,1,0,1,1,0,0.625
6842,2,1,1,1,1,0,1,1,1,0.875
6843,2,0,1,1,1,0,1,1,0,0.625
6844,3,1,1,1,1,0,1,0,1,0.75
6845,2,1,1,1,1,0,1,1,0,0.75
6846,3,0,0,1,1,0,1,0,0,0.375
6847,2,0,1,0,1,0,1,0,1,0.5
6848,3,1,0,1,1,0,1,0,1,0.625
6849,2,1,0,0,1,0,0,0,0,0.25
6850,3,1,1,1,1,1,1,1,1,1.0
6851,1,1,1,0,1,0,1,1,0,0.625
6852,3,0,0,0,1,0,0,0,0,0.125
6853,2,0,0,1,1,1,1,0,1,0.625
6854,1,1,0,1,1,0,1,0,0,0.5
6855,2,1,1,1,1,0,1,1,0,0.75
6856,2,0,1,1,1,0,1,0,0,0.5
6857,2,1,1,1,1,0,1,1,0,0.75
6858,1,1,1,1,1,0,1,1,0,0.75
6859,2,1,0,1,1,1,1,0,1,0.75
6860,2,0,1,0,1,0,1,0,0,0.375
6861,2,1,1,1,1,1,1,0,0,0.75
6862,3,1,1,1,1,0,1,1,0,0.75
6863,1,1,1,0,1,0,1,1,0,0.625
6864,1,0,1,1,1,0,1,1,0,0.625
6865,2,1,1,1,1,1,1,1,0,0.875
6866,2,1,1,1,1,1,1,1,0,0.875
6867,2,1,1,1,1,0,1,1,1,0.875
6868,2,1,1,1,1,1,1,1,0,0.875
6869,2,1,1,0,1,0,1,1,0,0.625
6870,2,1,0,0,1,0,1,0,0,0.375
6871,2,1,1,0,1,0,1,1,0,0.625
6872,2,1,1,1,1,0,1,1,1,0.875
6873,3,0,1,1,1,0,1,1,0,0.625
6874,2,0,1,1,1,0,1,1,0,0.625
6875,3,1,0,1,1,1,1,0,0,0.625
6876,3,1,1,1,1,0,1,1,0,0.75
6877,3,1,1,1,1,0,1,0,0,0.625
6878,3,1,0,0,1,0,1,1,0,0.5
6879,2,0,1,1,1,1,1,1,0,0.75
6880,3,1,1,1,1,1,1,1,1,1.0
6881,3,1,1,0,1,0,1,1,0,0.625
6882,2,0,1,1,1,1,1,1,1,0.875
6883,3,1,1,1,1,0,1,1,0,0.75
6884,3,0,0,1,1,0,1,0,1,0.5
6885,2,1,1,1,1,1,1,1,1,1.0
6886,2,1,1,0,1,1,1,1,0,0.75
6887,3,0,1,1,1,1,1,1,0,0.75
6888,2,1,1,1,1,1,1,1,1,1.0
6889,3,1,1,0,1,0,1,1,0,0.625
6890,1,1,1,0,1,0,1,0,1,0.625
6891,2,1,1,0,1,0,1,1,0,0.625
6892,2,0,1,1,1,0,1,0,0,0.5
6893,2,1,1,1,1,0,1,1,0,0.75
6894,2,1,0,1,1,0,1,1,1,0.75
6895,2,0,1,1,1,0,1,1,0,0.625
6896,3,1,1,0,1,0,1,1,0,0.625
6897,2,0,1,0,1,0,1,1,0,0.5
6898,3,1,1,1,1,1,1,1,1,1.0
6899,2,1,0,1,1,1,1,1,0,0.75
6900,2,1,1,1,1,0,1,1,0,0.75
6901,3,1,1,1,1,0,1,1,0,0.75
6902,3,1,0,1,1,0,0,0,0,0.375
6903,3,1,1,0,1,1,1,0,0,0.625
6904,2,0,0,1,1,1,0,1,1,0.625
6905,2,0,1,1,1,0,1,1,0,0.625
6906,2,1,1,1,1,0,1,1,0,0.75
6907,2,1,0,1,1,0,1,1,0,0.625
6908,2,1,1,1,1,0,1,1,0,0.75
6909,2,0,0,1,1,1,1,0,0,0.5
6910,2,1,1,0,1,0,1,1,0,0.625
6911,2,0,1,1,1,0,1,1,0,0.625
6912,2,1,1,0,1,0,1,1,0,0.625
6913,1,1,0,1,1,0,1,0,0,0.5
6914,2,1,1,0,1,0,1,1,0,0.625
6915,2,0,1,1,1,0,1,1,0,0.625
6916,3,0,1,1,1,0,1,1,0,0.625
6917,2,0,1,1,1,1,1,1,1,0.875
6918,2,1,0,1,1,0,0,0,0,0.375
6919,1,1,1,0,1,0,1,1,0,0.625
6920,2,1,1,1,1,0,1,1,1,0.875
6921,3,0,1,1,1,0,1,1,0,0.625
6922,3,0,1,0,1,1,1,1,0,0.625
6923,3,0,0,0,1,0,1,1,0,0.375
6924,3,1,1,1,1,1,1,1,0,0.875
6925,2,1,1,1,1,0,1,1,0,0.75
6926,3,1,1,1,1,0,0,1,0,0.625
6927,3,1,1,0,1,0,1,0,0,0.5
6928,3,1,1,1,1,0,1,1,0,0.75
6929,3,0,1,0,1,0,1,1,1,0.625
6930,3,1,1,1,1,0,1,1,1,0.875
6931,3,1,1,1,1,1,1,1,0,0.875
6932,3,0,0,1,1,0,1,0,0,0.375
6933,2,1,1,1,1,0,1,1,0,0.75
6934,2,1,1,1,1,1,1,1,0,0.875
6935,1,1,0,1,1,0,0,0,0,0.375
6936,2,0,1,1,1,1,1,1,0,0.75
6937,3,1,1,1,1,1,0,1,1,0.875
6938,2,1,1,1,1,1,1,1,0,0.875
6939,3,0,1,1,1,0,1,1,0,0.625
6940,1,1,0,0,1,0,1,1,0,0.5
6941,2,1,1,1,1,1,1,0,0,0.75
6942,1,1,1,1,1,0,1,1,0,0.75
6943,1,1,1,1,1,0,1,1,0,0.75
6944,2,0,1,0,1,0,1,1,0,0.5
6945,1,0,1,1,1,0,1,1,0,0.625
6946,2,1,1,1,1,1,1,0,0,0.75
6947,1,0,1,0,1,0,1,0,0,0.375
6948,2,1,1,1,1,0,1,1,1,0.875
6949,2,1,1,0,1,1,1,0,0,0.625
6950,2,1,1,0,1,0,1,1,0,0.625
6951,2,0,1,1,1,0,1,0,0,0.5
6952,2,0,1,1,1,1,1,1,0,0.75
6953,1,1,1,0,1,0,1,1,0,0.625
6954,1,1,1,0,1,0,1,1,0,0.625
6955,2,1,1,1,1,0,1,1,0,0.75
6956,2,1,0,0,1,0,1,1,0,0.5
6957,1,0,1,1,1,0,1,1,0,0.625
6958,1,0,0,0,1,0,0,0,0,0.125
6959,2,1,0,1,1,1,1,1,0,0.75
6960,2,1,0,1,1,1,1,1,1,0.875
6961,2,1,1,0,1,0,1,1,0,0.625
6962,3,1,1,1,1,1,1,1,1,1.0
6963,3,1,1,1,1,1,1,1,0,0.875
6964,2,1,1,0,1,1,1,1,1,0.875
6965,2,1,1,0,1,0,1,1,0,0.625
6966,3,1,0,0,1,1,1,1,0,0.625
6967,3,1,0,0,1,0,1,1,0,0.5
6968,2,1,1,0,1,0,1,1,0,0.625
6969,2,1,1,0,1,0,1,1,0,0.625
6970,2,1,1,0,1,1,1,1,1,0.875
6971,1,1,1,1,1,0,1,1,0,0.75
6972,1,0,1,0,1,0,1,0,0,0.375
6973,1,0,1,0,1,1,1,0,1,0.625
6974,2,1,1,0,1,0,1,1,0,0.625
6975,1,1,1,0,1,0,1,0,0,0.5
6976,3,0,1,0,1,0,1,0,0,0.375
6977,1,0,1,0,1,0,1,0,0,0.375
6978,2,1,0,0,1,1,1,1,0,0.625
6979,1,1,0,0,1,1,1,1,0,0.625
6980,1,1,1,0,1,0,0,0,0,0.375
6981,2,1,1,0,1,0,1,0,0,0.5
6982,2,1,0,0,1,1,0,1,0,0.5
6983,1,0,1,0,1,0,1,0,0,0.375
6984,2,1,1,0,1,1,1,0,0,0.625
6985,1,0,0,1,1,1,1,1,1,0.75
6986,2,1,1,1,1,1,1,1,0,0.875
6987,3,0,0,0,1,1,1,0,0,0.375
6988,1,1,1,0,1,0,1,1,0,0.625
6989,2,1,1,0,1,0,1,1,0,0.625
6990,1,0,1,0,1,0,1,0,0,0.375
